Channel,Country,Stream
ERF Pop,Germany,http://www.listenlive.eu/erfpop.m3u
Fantasy Dance FM,Germany,http://178.77.125.29:8000/dsl_stream.mp3.m3u
Freies Radio für Stuttgart,Germany,http://streaming.freies-radio.de:8000/listen.m3u
Freies Radio Kassel,Germany,http://login.streamplus.de/player.php?spt=13331.m3u
Freies Sender Kombinat,Germany,http://stream.fsk-hh.org:8000/fsk.mp3.m3u
Hamburg Zwei,Germany,http://stream.hamburg-zwei.de/hh2-live/mp3-128/listenlive/stream.m3u
Harmony FM,Germany,http://streams.harmonyfm.de/harmonyfm/mp3/hqlivestream.m3u
Hellweg Radio,Germany,http://www.hellwegradio.de/listen.pls
Hertz 87.9,Germany,http://radio.uni-bielefeld.de:8000/hertz-q5.ogg.m3u
Hit Radio FFH,Germany,http://streams.ffh.de/radioffh/mp3/livestream.m3u
FFH Digital Deutsch Pur,Germany,http://streams.ffh.de/ffhchannels/mp3/deutsch.m3u
FFH Digital Electro Beats,Germany,http://streams.ffh.de/ffhchannels/mp3/electrobeatz.m3u
FFH Digital Jazz,Germany,http://streams.ffh.de/ffhchannels/mp3/jazz.m3u
FFH Digital Die 80er,Germany,http://streams.ffh.de/ffhchannels/mp3/80er.m3u
FFH Digital Die 90er,Germany,http://streams.ffh.de/ffhchannels/mp3/spezial.m3u
FFH Digital Top 40,Germany,http://streams.ffh.de/ffhchannels/mp3/top40.m3u
FFH Digital Rock,Germany,http://streams.ffh.de/ffhchannels/mp3/rock.m3u
FFH Digital Lounge,Germany,http://streams.ffh.de/ffhchannels/mp3/lounge.m3u
FFH Digital Schlagerkult,Germany,http://streams.ffh.de/ffhchannels/mp3/schlager.m3u
FFH Digital Hits für Kids,Germany,http://streams.ffh.de/ffhchannels/mp3/hits4kids.m3u
FFH Digital Soundtrack,Germany,http://streams.ffh.de/ffhchannels/mp3/soundtrack.m3u
FFH Digital Eurodance,Germany,http://streams.ffh.de/ffhchannels/mp3/eurodance.m3u
FFH Digital Alternative,Germany,http://streams.ffh.de/ffhchannels/mp3/alternative.m3u
FFH Digital Konfetti-Hits,Germany,http://streams.ffh.de/ffhchannels/mp3/spezial1.m3u
Gong 96.3,Germany,http://webradio.radiogong.de/live/high_q.m3u
Gong 96.3 Münchens Top50,Germany,http://webradio.radiogong.de/live/top50.m3u
Gong 96.3 München Relaxed,Germany,http://webradio.radiogong.de/live/relaxed.m3u
Gong 96.3 Wiesn Hits,Germany,http://webradio.radiogong.de/live/event.m3u
Gong 96.3 Weihnachts-Hits,Germany,http://webradio.radiogong.de/live/xmas.m3u
Gong 96.3 Partygong,Germany,http://webradio.radiogong.de/live/partygong.m3u
Gong 96.3 Kulthits,Germany,http://webradio.radiogong.de/live/kulthits.m3u
HIT104,Germany,http://www.hit104.de/listen.pls
Hit-Radio ANTENNE 1,Germany,http://antenne1.fmstreams.de/stream1/livestream.mp3.m3u
Hit Radio N1,Germany,http://webradio.hitradion1.de:8000/listen.pls
Hitradio MS One,Germany,http://hitradio-msone.de/streams/high/MP3stream.m3u
Hitradio Ohr,Germany,http://players.creacast.com/creacast/hitradio_ohr/playlist.pls
Hitradio RT1,Germany,http://mp3.hitradiort1.c.nmdn.net/hitradiort1wl/livestream.mp3.m3u
Hitradio RT1 Nordschwaben,Germany,http://mp3.hitradiort1.c.nmdn.net/rt1nordschwabenwl/livestream.mp3.m3u
Hitradio RT1 Südschwaben,Germany,http://mp3.hitradiort1.c.nmdn.net/rt1suedschwabenwl/livestream.mp3.m3u
Hitradio RT1 In The Mix,Germany,http://mp3.hitradiort1.c.nmdn.net/rt1inthemixhp/livestream.mp3.m3u
RT1 80s,Germany,http://mp3.hitradiort1.c.nmdn.net/rt180swl/livestream.mp3.m3u
RT1 90s,Germany,http://mp3.hitradiort1.c.nmdn.net/rt190swl/livestream.mp3.m3u
RT1 Rock,Germany,http://mp3.hitradiort1.c.nmdn.net/rt1rockwl/livestream.mp3.m3u
RT1 Top40,Germany,http://mp3.hitradiort1.c.nmdn.net/rt1top40wl/livestream.mp3.m3u
RT1 Relax,Germany,http://mp3.hitradiort1.c.nmdn.net/rt1relaxwl/livestream.mp3.m3u
RT1 Sport,Germany,http://mp3.hitradiort1.c.nmdn.net/rt1occusewl/livestream.mp3.m3u
RT1 Black,Germany,http://mp3.hitradiort1.c.nmdn.net/rt1blackag/livestream.mp3.m3u
RT1 Lounge,Germany,http://mp3.hitradiort1.c.nmdn.net/rt1loungeag/livestream.mp3.m3u
RT1 Number Ones,Germany,http://mp3.hitradiort1.c.nmdn.net/rt1numberonesag/livestream.mp3.m3u
RT1 Chillhouse,Germany,http://mp3.hitradiort1.c.nmdn.net/rt1chillhouseag/livestream.mp3.m3u
HLRdigital,Germany,http://server1.citystream.at:9036/192kbps.m3u
Hochschulradio Aachen,Germany,http://evans.hochschulradio.rwth-aachen.de:8000/hoeren/high.m3u
horads 99.2 FM,Germany,http://realserver3.hdm-stuttgart.de:8080/horads.m3u
HR1,Germany,http://metafiles.gl-systemhaus.de/hr/hr1_2.m3u
HR2,Germany,http://metafiles.gl-systemhaus.de/hr/hr2_2.m3u
HR3,Germany,http://metafiles.gl-systemhaus.de/hr/hr3_2.m3u
HR4,Germany,http://metafiles.gl-systemhaus.de/hr/hr4_2.m3u
